name	relic	sets	primaries	secondaries	done
0-0-0	7	speed,potency	offense%,speed,defense%,offense%,protection%,potency%	speed,potency%,protection%,protection,tenacity%	0,0,0,0,0,0
50r-t	5	health,speed	offense%,speed,defense%,health%,health%,health%	speed,tenacity%,health%,health,-	0,0,0,0,0,0
aayla secura	7	criticalchance,criticalchance,potency	offense%,speed,defense%,criticaldamage%,protection%,potency%	tenacity%,speed,potency%,criticalchance%,-	0,0,0,0,0,0
admiral ackbar	3	speed,tenacity	offense%,speed,defense%,protection%,protection%,tenacity%	tenacity%,speed,protection%,protection,-	0,0,0,0,0,0
admiral piett	8	speed,potency	offense%,speed,defense%,offense%,protection%,potency%	speed,potency%,protection%,protection,tenacity%	0,0,0,0,0,0
admiral raddus	9	speed,health	offense%,speed,defense%,protection%,protection%,protection%	speed,tenacity%,protection%,protection,-	0,0,0,0,0,0
admiral trench		speed,health	offense%,speed,defense%,health%,health%,potency%	speed,potency%,health%,health,tenacity%	0,0,0,0,0,0
ahsoka tano		criticaldamage,health	offense%,speed,defense%,criticaldamage%,health%,tenacity%	health%,health,tenacity%,speed,offense%	0,0,0,0,0,0
ahsoka tano (fulcrum)		health,offense	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,criticalchance%,offense%,offense,-	0,0,0,0,0,0
amilyn holdo	5	health,health,health	offense%,criticalavoidance%,defense%,protection%,protection%,tenacity%	speed,protection%,protection,health%,health	0,0,0,0,0,0
arc trooper	8	criticalchance,offense	offense%,speed,defense%,offense%,protection%,offense%	speed,criticalchance%,offense%,offense,protection%	0,0,0,0,0,0
asajj ventress	7	criticaldamage,health	offense%,speed,defense%,criticaldamage%,health%,offense%	speed,offense%,offense,health%,health	0,0,0,0,0,0
aurra sing	7	criticalchance,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%offense%	criticalchance%,offense%,offense,speed,-	0,0,0,0,0,0
b1 battle droid		speed,potency	offense%,speed,defense%,offense%,protection%,offense%	potency%,offense%,offense,speed,-	0,0,0,0,0,0
b2 super battle droid		potency,tenacity,tenacity	offense%,protection%,defense%,protection%,protection%,potency%	potency%,protection%,protection%,tenacity%,-	0,0,0,0,0,0
barriss offee		health,health,health	offense%,speed,defense%,health%,health%,tenacity%	speed,health%,health,tenacity,-	0,0,0,0,0,0
bastila shan	7	speed,potency	offense%,speed,defense%,protection%,protection%,tenacity%	speed,tenacity%,potency%,protection%,protection	0,0,0,0,0,0
bastila shan (fallen)		speed,potency	offense%,speed,defense%,criticaldamage%,protection%,potency%	speed,offense%,offense,health%,health	0,0,0,0,0,0
baze malbus		health,health,health	offense%,protection%,defense%,protection%,protection%,protection%	health%,tenacity%,protection%,protection,health	0,0,0,0,0,0
bb-8	7	speed,tenacity	offense%,speed,defense%,protection%,protection%,protection%	tenacity%,potency%,speed,protection%,protection	0,0,0,0,0,0
ben solo		offense,potency	offense%,speed,defense%,offense%,health%,offense%	speed,offense%,offense,potency%,-	0,0,0,0,0,0
biggs darklighter	3	criticalchance,criticaldamage	offense%,speed,defense%,criticaldamage%,protection%,offense%	tenacity%,speed,offense%,offense,-	0,0,0,0,0,0
bistan	5	potency,potency,potency	offense%,speed,defense%,criticaldamage%,protection%,potency%	potency%,speed,criticalchance%,tenacity%,-	0,0,0,0,0,0
